date_recorded,lon,lat,easting,northing,enquiry_category,division,client_office,grid_cell,grid_x,grid_y,year,month,dayofweek,hour,is_weekend,is_winter_spring,days_since_apr2016,repeat_within_14d_200m,source_file
2016-04-03 21:30:00,-6.3570318734913505,55.00211709980756,305181.703965442,418418.003085814,Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1525_2092,1525,2092,2016,4,6,21,1,1,2.8958333333333335,0,pothole_enquiries_2016.csv
2016-04-04 07:59:00,-5.647505357136215,54.28246155764347,353260.720301653,339624.977488679,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (EAST),1766_1698,1766,1698,2016,4,0,7,0,1,3.332638888888889,0,pothole_enquiries_2016.csv
2016-04-04 08:20:00,-7.821524990982736,54.374387761609796,211647.272983978,347317.347050561,Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (WEST),1058_1736,1058,1736,2016,4,0,8,0,1,3.3472222222222223,0,pothole_enquiries_2016.csv
2016-04-04 09:05:00,-7.306778050408965,54.9805782198505,244432.903206445,415004.781657157,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1222_2075,1222,2075,2016,4,0,9,0,1,3.3784722222222223,1,pothole_enquiries_2016.csv
2016-04-04 09:06:00,-7.307346678679404,54.98003180139713,244397.09897004,414943.591182554,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1221_2074,1221,2074,2016,4,0,9,0,1,3.379166666666667,0,pothole_enquiries_2016.csv
2016-04-04 09:08:00,-5.966378482704839,54.67346803909737,331238.422527116,382496.356371847,Call Centre Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1656_1912,1656,1912,2016,4,0,9,0,1,3.3805555555555555,0,pothole_enquiries_2016.csv
2016-04-04 09:50:15,-7.200065105736583,54.99349428715474,251248.796875,416515.59375,Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1256_2082,1256,2082,2016,4,0,9,0,1,3.409895833333333,0,pothole_enquiries_2016.csv
2016-04-04 10:08:00,-5.749188528803891,54.55449204440704,345671.56321097,369682.874144205,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1728_1848,1728,1848,2016,4,0,10,0,1,3.422222222222222,1,pothole_enquiries_2016.csv
2016-04-04 10:27:00,-7.388699527158442,54.55057978609059,239605.225798334,367087.981029339,Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (EAST),1198_1835,1198,1835,2016,4,0,10,0,1,3.435416666666667,0,pothole_enquiries_2016.csv
2016-04-04 10:37:00,-6.048379384930838,54.63383662644479,326071.811628497,377935.22379305,Call Centre Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1630_1889,1630,1889,2016,4,0,10,0,1,3.442361111111111,0,pothole_enquiries_2016.csv
2016-04-04 10:42:00,-7.257825071679159,54.20745618551319,248476.276249478,328975.398170251,Call Centre Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (WEST),1242_1644,1242,1644,2016,4,0,10,0,1,3.4458333333333333,0,pothole_enquiries_2016.csv
2016-04-04 11:13:00,-6.742765280907916,54.64851140007998,281206.491514212,378544.345125194,Call Centre Public Enquiry,WESTERN DIVISION,MID ULSTER (NORTH),1406_1892,1406,1892,2016,4,0,11,0,1,3.467361111111111,0,pothole_enquiries_2016.csv
2016-04-04 11:18:00,-6.258559952421433,54.87766119647217,311827.108923427,404717.467548937,Call Centre Public Enquiry,NORTHERN DIVISION,MID & EAST ANTRIM,1559_2023,1559,2023,2016,4,0,11,0,1,3.470833333333333,0,pothole_enquiries_2016.csv
2016-04-04 11:27:00,-6.357023030709427,54.38703286291689,306785.200542195,349955.047480328,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1533_1749,1533,1749,2016,4,0,11,0,1,3.4770833333333333,0,pothole_enquiries_2016.csv
2016-04-04 11:39:00,-6.372280856267128,54.188815149998575,306303.206256393,327870.404297349,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1531_1639,1531,1639,2016,4,0,11,0,1,3.4854166666666666,1,pothole_enquiries_2016.csv
2016-04-04 11:40:00,-6.372870942202367,54.18878376192349,306264.770256786,327866.023218782,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1531_1639,1531,1639,2016,4,0,11,0,1,3.486111111111111,1,pothole_enquiries_2016.csv
2016-04-04 11:42:00,-6.36947526586686,54.18884967684677,306486.245899386,327878.471795884,Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1532_1639,1532,1639,2016,4,0,11,0,1,3.4875,1,pothole_enquiries_2016.csv
2016-04-04 11:44:00,-6.739052609542849,54.24799861078684,282244.732016527,333968.141923197,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1411_1669,1411,1669,2016,4,0,11,0,1,3.488888888888889,1,pothole_enquiries_2016.csv
2016-04-04 11:48:00,-6.739012376410379,54.248045625429015,282247.261011769,333973.421750181,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1411_1669,1411,1669,2016,4,0,11,0,1,3.4916666666666667,0,pothole_enquiries_2016.csv
2016-04-04 11:58:00,-6.575038864637633,54.08694018393572,293297.093100917,316245.59151305,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1466_1581,1466,1581,2016,4,0,11,0,1,3.498611111111111,0,pothole_enquiries_2016.csv
2016-04-04 12:16:00,-6.08001302525702,54.50651614226085,324416.51175254,363708.268477642,Call Centre Public Enquiry,EASTERN DIVISION,CASTLEREAGH / LISBURN,1622_1818,1622,1818,2016,4,0,12,0,1,3.511111111111111,0,pothole_enquiries_2016.csv
2016-04-04 12:27:42,-6.0127382852142395,54.55241716351559,328629.31568487,368937.94306645,Public Enquiry,EASTERN DIVISION,BELFAST NORTH,1643_1844,1643,1844,2016,4,0,12,0,1,3.5192361111111112,0,pothole_enquiries_2016.csv
