"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:01:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332580.79028581,392508.41584132,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 14:35:00,"EASTERN DIVISION","BELFAST SOUTH",336928.893820299,374061.732791036,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:36:00,"WESTERN DIVISION","MID ULSTER (SOUTH)",254075.6060947,357360.90851044,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:38:00,"WESTERN DIVISION","MID ULSTER (SOUTH)",279876.778400511,363067.75319124,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:45:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",241991.287286673,419550.690026529,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:46:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",281752.653414132,346517.507137683,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 14:47:38,"WESTERN DIVISION","MID ULSTER (SOUTH)",261362.8027319,357932.32794199,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:48:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",282901.126231579,346632.62271317,"Completed Enquiries"
"Pothole","Correspondence",04/04/2016 14:54:58,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",331501.71875,383458.34375,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 14:58:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",246209.854940814,418204.348032536,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 15:05:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",320297.202948703,331911.239136973,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 15:06:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",299221.200053499,315806.827828753,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 15:06:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",245189.127043858,372885.016446561,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 15:24:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",241672.877139115,416097.377471704,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 15:39:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (WEST)",292319.178464725,440026.821468862,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 15:42:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",291259.343587623,422934.175233001,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 15:44:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",293753.699109321,413477.71522585,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 15:56:00,"WESTERN DIVISION","MID ULSTER (NORTH)",277561.052962037,383285.292566127,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 15:58:00,"WESTERN DIVISION","MID ULSTER (NORTH)",277381.780203617,383311.045294552,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 15:59:00,"WESTERN DIVISION","MID ULSTER (NORTH)",276497.398531043,383487.68433434,"Completed Enquiries"
"Pothole","Correspondence",04/04/2016 16:02:42,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",315550.75,396722.90625,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 16:06:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",298039.39750525,346659.379922143,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 16:09:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",357696.748236627,371845.689635677,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 16:13:00,"WESTERN DIVISION","LONDONDERRY & STRABANE",233780.782692934,397385.990433522,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 16:16:00,"EASTERN DIVISION","BELFAST NORTH",331711.453529086,377536.129594785,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 16:27:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",325715.674952605,366558.359996448,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 16:29:51,"NORTHERN DIVISION","MID & EAST ANTRIM",339932.86039087,402820.20126471,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 16:31:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",333650.112211267,384495.897725747,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",04/04/2016 16:40:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",238384.846846856,327996.04549598,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 17:02:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",353037.151437068,347278.564756919,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 18:34:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",247791.95882818,358792.548298233,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 18:52:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",314330.255099511,318896.873185969,"Completed Enquiries"
