scenario,policy,frequency_days,capacity_rate,spot_radius_m,use_sections,selected_sections,section_treatment_cost,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,event_reduction_pct,expected_spot_interventions,used_capacity,expected_spot_intervention_rate,expected_prevented_by_spot
authority_low_cost_spot,risk,14,0.35,100.0,True,2971,1197770.0,7665608.000000001,6553662.945936693,1111945.054063308,0.14505634178832363,31597.40706494527,0.3598580416340099,14543.6043016592,14831,0.29464352312923825,312.1929350547356
authority_low_cost_spot,fifo,28,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,28,0.0,100.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,28,0.0,100.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,fifo,28,0.05,100.0,False,0,0.0,7665608.000000001,7697191.713350427,-31583.713350426406,-0.004120183728469601,49142.49989279089,0.004406404116878259,2118.0,2118,0.04290923824959481,217.50010720911317
authority_low_cost_spot,risk,28,0.05,100.0,False,0,0.0,7665608.000000001,7703002.289072218,-37394.28907221742,-0.0048781895802938804,49195.609243457955,0.003330444824595725,2039.0205302396748,2118,0.041309167954612536,164.39075654204223
authority_low_cost_spot,risk,28,0.05,100.0,True,2971,1197770.0,7665608.000000001,6210843.856223704,1454764.1437762966,0.1897780507138242,31863.90215680001,0.3544590324797405,2093.6439168000006,2118,0.04241580058346841,45.69784320000005
authority_low_cost_spot,fifo,28,0.1,100.0,False,0,0.0,7665608.000000001,7744616.060000001,-79008.06000000052,-0.01030682236816708,49026.99999999999,0.00674635332252851,4236.0,4236,0.08581847649918962,333.00000000000193
authority_low_cost_spot,risk,28,0.1,100.0,False,0,0.0,7665608.000000001,7745407.759807161,-79799.75980716012,-0.010410101821950733,49060.131979180485,0.0060751219777049155,4094.9210447319833,4236,0.08296031289975656,299.86802081951373
authority_low_cost_spot,risk,28,0.1,100.0,True,2971,1197770.0,7665608.000000001,6268476.410376878,1397131.5896231225,0.18225972285865938,31819.80954880001,0.35535231870340334,4183.084492800002,4236,0.0847464443435981,89.79045119999984
authority_low_cost_spot,fifo,28,0.2,100.0,False,0,0.0,7665608.000000001,7796701.9290155675,-131093.9290155666,-0.017101569636168008,48539.69992966144,0.01661872103603246,8376.102719999975,8466,0.1696941393841162,820.3000703385808
authority_low_cost_spot,risk,28,0.2,100.0,False,0,0.0,7665608.000000001,7827228.361708733,-161620.36170873232,-0.021083828146277805,48774.20943506473,0.011867718090260713,8185.147000752777,8466,0.1658255064982329,585.7905649352801
