scenario,event_cost,section_effectiveness,selected_sections,section_treatment_cost,section_predicted_burden,section_actual_holdout_events,spot_premium,spot_effectiveness,spot_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events_total,event_reduction_pct,expected_spot_interventions,spot_intervention_rate,expected_prevented_by_spot,events_initially_in_selected_sections,selected_section_event_share,nominal_flagged_rate_before_prevention
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.25,7665608.000000001,6279375.709139918,1386232.290860083,0.1808378788558041,27012.853520594017,22347.146479405983,0.4527379756767825,11820.127431868383,0.23946773565373547,4896.7464794058,29084,0.5892220421393841,0.8877228525121555
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.275,7665608.000000001,6217510.9925452275,1448097.0074547734,0.18890830413644596,27261.241779614567,22098.758220385433,0.4477057986301749,10480.93525559483,0.21233661376812865,4648.358220385167,29084,0.5892220421393841,0.8280591572123177
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.3,7665608.000000001,6165227.8066033255,1500380.1933966754,0.19572879194927204,27511.46220503047,21848.53779496953,0.44263650313957714,9265.703015475876,0.1877168358078581,4398.1377949691805,29084,0.5892220421393841,0.7726904376012966
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.325,7665608.000000001,6125923.363323778,1539684.636676223,0.20085616648754057,27752.038617292455,21607.961382707545,0.4377625887906715,8243.490214092151,0.16700750028549738,4157.561382707137,29084,0.5892220421393841,0.7213128038897894
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.35,7665608.000000001,6095327.207571567,1570280.792428434,0.20484752056567904,27950.07405488564,21409.92594511436,0.4337505256303557,7425.476091286859,0.15043509099041447,3959.5259451139514,29084,0.5892220421393841,0.6726904376012965
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.375,7665608.000000001,6070888.762878112,1594719.2371218894,0.20803558401654365,28132.148509940733,21227.851490059267,0.4300618211114114,6722.614657107325,0.13619559678094256,3777.4514900588933,29084,0.5892220421393841,0.6243922204213939
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.4,7665608.000000001,6055026.120603837,1610581.8793961639,0.21010491006012355,28353.01902599465,21006.98097400535,0.42558713480561894,6053.763544875379,0.12264512854285614,3556.5809740050045,29084,0.5892220421393841,0.5722649918962723
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.425,7665608.000000001,6040297.009006297,1625310.9909937037,0.21202636385707482,28562.10547796124,20797.89452203876,0.42135118561666857,5424.427043703391,0.10989519942672997,3347.4945220384507,29084,0.5892220421393841,0.5209481361426256
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.45,7665608.000000001,6031138.865139776,1634469.134860225,0.21322106933464702,28770.007522629305,20589.992477370695,0.4171392317133447,4871.822624991149,0.09869981006870236,3139.592477370422,29084,0.5892220421393841,0.4720421393841167
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.475,7665608.000000001,6024403.916500307,1641204.0834996942,0.21409966221853427,28970.544829591316,20389.455170408684,0.41307648238267186,4366.777392849405,0.08846793745643042,2939.0551704084373,29084,0.5892220421393841,0.42518233387358184
