scenario,threshold,n,actual_positives,flagged_n,flagged_rate,tp,fp,fn,precision,recall,f1,incremental_fast_repair_cost,avoided_repeat_cost,effectiveness,gross_benefit,intervention_cost,net_value,net_value_per_flagged,break_even_avoided_cost,break_even_avoided_cost_multiple
ops_admin_low_claim,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,75.0,155.3,0.6,2381587.62,3065475.0,-683887.3799999999,-16.732008416313946,199.8953401932783,2.665271202577044
moderate_deterioration,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,125.0,272.8,0.6,4183497.12,5109125.0,-925627.8799999999,-22.646438480170282,333.1589003221305,2.665271202577044
large_patch_premium,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,300.0,579.8,0.6,8891464.92,12261900.0,-3370435.08,-82.46116213637364,799.5813607731131,2.665271202577044
medium_patch_full_cost_not_incremental,0.275,49360,28081,40873,0.8280591572123177,25559,15314,2522,0.6253272331367896,0.9101883836045724,0.7413348029120863,1328.0,579.8,0.6,8891464.92,54279344.0,-45387879.08,-1110.4611621363736,3539.4801570223144,2.665271202577044
direct_repeat_only_low_increment,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,30.86,87.8,0.5,1076867.0,1177000.4,-100133.3999999999,-2.6254168851599347,95.96415817366488,3.1096616388096208
direct_repeat_only_high_effect,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,30.86,87.8,0.75,1615300.5,1177000.4,438300.1000000001,11.491874672260098,63.97610544910992,2.0731077592064135
ops_admin_low_claim,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,75.0,155.3,0.6,2285705.4000000004,2860500.0,-574794.5999999996,-15.070650235972723,194.3538524256013,2.5913846990080174
moderate_deterioration,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,125.0,272.8,0.6,4015070.4000000004,4767500.0,-752429.5999999996,-19.728096486628203,323.9230873760022,2.5913846990080174
large_patch_premium,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,300.0,579.8,0.6,8533496.399999999,11442000.0,-2908503.6000000015,-76.25861562663874,777.4154097024052,2.5913846990080174
medium_patch_full_cost_not_incremental,0.3,49360,28081,38140,0.7726904376012966,24530,13610,3551,0.6431567907708443,0.8735443894448204,0.7408525996285167,1328.0,579.8,0.6,8533496.399999999,50649920.0,-42116423.6,-1104.2586156266386,3441.358880282647,2.5913846990080174
