scenario,event_cost,intervention_premium,effectiveness,suppression_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events,event_reduction_pct,expected_interventions,intervention_rate,nominal_flagged_rate_before_suppression
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.575,4333808.0,3712780.423133912,621027.576866088,0.14329835951802386,40393.40590646769,8966.594093532367,0.1816570926566513,5386.888676218109,0.10913469765433771,0.26952998379254456
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.6,4333808.0,3771551.180245375,562256.8197546252,0.12973736255843019,41341.631851579965,8018.368148420302,0.16244668047852584,4593.515997371935,0.09306150724011213,0.23397487844408427
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.625,4333808.0,3828588.1273123873,505219.87268761266,0.11657643178645954,42242.14903506707,7117.85096493305,0.14420281533494586,3879.6967607228617,0.07860001541172734,0.20135737439222043
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.65,4333808.0,3886807.9847614462,447000.01523855375,0.10314255159401473,43138.51523190246,6221.484768097686,0.1260430463552987,3216.019034445373,0.06515435645148648,0.17040113452188008
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.675,4333808.0,3937910.859290274,395897.14070972614,0.09135087219132139,43924.27255977121,5435.727440228848,0.11012413776800623,2636.413757132267,0.05341194807804431,0.14280794165316046
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.7,4333808.0,3993191.655632124,340616.3443678762,0.07859516258400838,44724.43995319815,4635.56004680184,0.09391329106162587,2151.193381213431,0.04358171355780857,0.11774716369529983
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.725,4333808.0,4048371.12382455,285436.87617545016,0.06586283383469,45528.67080306357,3831.3291969364195,0.07762012149384986,1651.128558608712,0.03345074065252658,0.09288897893030794
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.75,4333808.0,4097349.377582857,236458.62241714308,0.05456139783237815,46224.317948106946,3135.6820518930213,0.06352678387141521,1259.0493111571022,0.025507481992647938,0.0715964343598055
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.775,4333808.0,4142165.3886357187,191642.61136428127,0.044220374175386004,46851.72592496159,2508.2740750383787,0.050815925345186606,926.2427876684574,0.01876504837253763,0.05393030794165316
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.8,4333808.0,4189061.591479536,144746.40852046385,0.033399358836492955,47481.52969076526,1878.4703092347327,0.03805652976569572,654.0273698594641,0.013250149308335983,0.03853322528363047
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.825,4333808.0,4226652.817259174,107155.18274082616,0.024725410710586662,47990.67228887617,1369.3277111238415,0.027741647308019198,423.58361307420813,0.008581515661957214,0.026195299837925446
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.85,4333808.0,4257384.162032144,76423.83796785586,0.01763433866194715,48397.49428108364,962.5057189163646,0.019499710674966846,261.9625455837254,0.005307182852182443,0.016997568881685576
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.875,4333808.0,4283921.070411603,49886.92958839703,0.011511107457551658,48738.08579373847,621.914206261527,0.012599558473693847,152.8560507184174,0.0030967595364347123,0.010149918962722852
repair_only_14d_good_fix,87.8,30.86,0.75,14,0.9,4333808.0,4302232.00610319,31575.993896810338,0.00728596972842598,48972.38647813858,387.6135218614182,0.007852786099299468,79.60056145443757,0.0016126531899197237,0.0059359805510534845
authority_plus_admin_14d,155.3,75.0,0.6,14,0.2,7665608.000000001,6962912.758022496,702695.2419775054,0.09166855935987143,30825.74972307818,18534.250276923944,0.3754912941029542,29008.984347081572,0.5877022760753965,0.963128038897893
authority_plus_admin_14d,155.3,75.0,0.6,14,0.225,7665608.000000001,6911015.658905043,754592.3410949577,0.09843868106678004,31066.914715186733,18293.08528481547,0.3706054555270111,27817.650715189724,0.5635666676497108,0.9338735818476499
authority_plus_admin_14d,155.3,75.0,0.6,14,0.25,7665608.000000001,6839800.888777815,825807.1112221861,0.10772884697758951,31494.2692178136,17865.730782188573,0.36194754420961106,25983.211723387165,0.5264021824024953,0.8877228525121555
authority_plus_admin_14d,155.3,75.0,0.6,14,0.275,7665608.000000001,6765300.259522285,900307.7404777156,0.11744766240038827,32126.618467538556,17233.38153246377,0.3491365788586192,23680.48548688358,0.47975051634691207,0.8280591572123177
authority_plus_admin_14d,155.3,75.0,0.6,14,0.3,7665608.000000001,6706292.385499712,959315.6145002889,0.12514540457851336,32750.043955463,16609.95604453944,0.33650640284718397,21602.8074562545,0.4376581737490782,0.7726904376012966
